gender,school,inc_aframer,inc_amerind,inc_asian,inc_hisp,inc_white,inc_total
Male,N.A.C.A. Freedom and Democracy Academy II,16,0,0,0,0,16
Male,National Academy Foundation,99,0,1,1,2,103
Male,New Era Academy,65,0,0,0,1,66
Male,New Hope Academy,16,0,0,0,0,16
Male,North Bend Elementary/Middle,15,0,0,0,0,15
Male,Northeast Middle,60,0,0,0,1,61
Male,Northwestern High,110,0,0,0,1,111
Male,Patapsco Elementary/Middle,23,0,0,0,0,23
Male,Patterson High,139,0,1,3,2,145
Male,Patterson Park Public Charter School,12,0,0,1,0,13
Male,Paul Laurence Dunbar High,68,0,0,0,0,68
Male,Pimlico Elementary/Middle,62,0,0,0,0,62
Male,Reginald F. Lewis High School,17,0,0,0,0,17
Male,Renaissance Academy High,53,0,0,0,0,53
Male,Rognel Heights Elementary/Middle,6,0,0,0,0,6
Male,Roland Park Elementary/Middle,29,0,0,0,1,30
Male,Rosemont Elem/Middle,9,0,0,0,0,9
Male,Southside Academy,6,0,0,0,0,6
Male,Southwest Baltimore Charter School,23,0,0,0,1,24
Male,Stadium School Middle,102,0,0,0,0,102
Male,Tench Tilghman Elem/Middle,14,0,0,0,0,14
Male,The Crossroads School,13,0,0,2,2,17
Male,The Mount Washington School,8,0,0,0,0,8
Male,The REACH! Partnership School,87,0,0,0,0,87
Male,Thomas Jefferson Elementary/Middle,20,0,0,0,0,20
Male,Thomas Johnson Elem/Middle,5,0,0,0,1,6
Male,Vanguard Collegiate Middle School,32,0,0,0,0,32
Male,Violetville Elementary/Middle,16,1,0,0,8,25
Male,Vivien T. Thomas Medical Arts Academy,3,0,0,0,0,3
Male,W.E.B. DuBois High,24,0,0,0,5,29
Male,Walter P. Carter Elementary/Middle,14,0,0,0,0,14
Male,Waverly Elem/Middle,6,0,0,0,1,7
Male,Westport Academy,10,0,0,0,1,11
Male,William C. March Middle,44,0,0,0,0,44
Male,William Pinderhughes Elem/Middle,3,0,0,0,0,3
Male,Windsor Hills Elem/Middle,21,2,0,0,0,23
Male,Woodhome Elementary/Middle,17,0,0,0,5,22
Total,Academy for College and Career Exploration,159,0,1,0,2,162
Total,Achievement Academy @ Harbor City High,27,2,0,0,0,29
Total,Afya Public Charter School,32,0,0,0,0,32
Total,Arlington Elementary/Middle,41,0,0,4,1,46
Total,Armistead Gardens Elementary/Middle,8,0,0,0,10,18
Total,Arundel Elementary/Middle,93,0,0,0,0,93
Total,Augusta Fells Savage Institute of Visual Arts High,34,0,0,0,0,34
Total,Baltimore Antioch Diploma Plus High School,68,0,0,0,0,68
Total,Baltimore City College,46,0,0,0,3,49
Total,Baltimore Civitas Middle/High,26,0,0,1,0,27
Total,Baltimore Community High School,16,0,0,2,0,18
Total,Baltimore Design School,61,0,0,0,1,62
Total,Baltimore Freedom Academy,143,0,0,0,0,143
Total,Baltimore International Academy,3,0,0,0,0,3
Total,Baltimore IT Academy,96,1,0,0,2,99
Total,Baltimore Leadership School for Young Women,11,0,1,0,0,12
Total,Baltimore Liberation Diploma Plus High School,19,0,0,0,8,27
Total,Baltimore Montessori Public Charter Middle School,9,0,0,0,0,9
Total,Baltimore Polytechnic Institute,16,0,0,0,3,19
Total,Baltimore Rising Star Academy@Laurence G. Paquin,160,0,0,0,0,160
Total,Baltimore School for the Arts,2,0,0,0,0,2
Total,Baltimore Talent Development High,112,0,0,0,0,112
Total,Barclay Elementary/Middle,16,0,0,0,0,16
Total,Bay-Brook Elementary/Middle,35,0,0,1,1,37
Total,Beechfield Elementary/Middle,68,0,0,0,0,68
Total,Benjamin Franklin High at Masonville Cove,95,0,0,3,15,113
Total,Bluford Drew Jemison STEM Academy Middle,86,0,0,0,1,87
Total,Bluford Drew Jemison STEM Academy West,29,0,0,0,0,29
Total,Booker T. Washington Middle,303,0,0,0,0,303
Total,Calverton Elementary/Middle,45,0,0,0,0,45
Total,Carver Vocational-Technical High,140,0,0,0,0,140
Total,Cherry Hill Elementary/Middle,35,0,0,0,0,35
Total,City Neighbors Charter School,1,0,0,0,1,2
Total,City Neighbors Hamilton,0,0,0,0,2,2
Total,City Neighbors High School,78,0,0,1,9,88
Total,City Springs Elem/Middle,8,0,0,0,0,8
Total,Coldstream Park Elem/Middle,33,0,0,0,0,33
Total,Collington Square Elem/Middle,79,0,0,0,0,79
Total,Commodore John Rodgers Elem/Middle,101,0,0,4,0,105
Total,ConneXions: A Community Based Arts School,43,0,0,0,1,44
Total,Coppin Academy,18,0,0,0,0,18
Total,Cross Country Elementary/Middle,8,0,0,0,0,8
Total,Curtis Bay Elementary/Middle,61,9,0,0,18,88
Total,Dickey Hill Elementary/Middle,32,0,0,0,0,32
Total,Digital Harbor High School,308,1,1,9,15,334
Total,Dr. Carter Godwin Woodson,9,0,0,1,0,10
Total,"Dr. Martin Luther King, Jr. Elementary/Middle",2,0,0,0,0,2
Total,Dr. Nathan A. Pitts-Ashburton Elementary/Middle,70,0,0,0,4,74
