district_name,state,district_id,rate_all,rate_ind,rate_asian,rate_pacis,rate_black,rate_latino,rate_white,m_rate_all,m_rate_ind,m_rate_asian,m_rate_pacis,m_rate_black,m_rate_latino,m_rate_white,f_rate_all,f_rate_ind,f_rate_asian,f_rate_pacis,f_rate_black,f_rate_latino,f_rate_white,cnt_all,cnt_ind,cnt_asian,cnt_pacis,cnt_black,cnt_latino,cnt_white,m_cnt_all,m_cnt_ind,m_cnt_asian,m_cnt_pacis,m_cnt_black,m_cnt_latino,m_cnt_white,f_cnt_all,f_cnt_ind,f_cnt_asian,f_cnt_pacis,f_cnt_black,f_cnt_latino,f_cnt_white
CLEVELAND HILL UNION FREE SCHOOL DISTRICT,NY,3607680,1.65%,0.00%,0.00%,,3.23%,0.00%,0.00%,3.39%,,0.00%,,7.69%,0.00%,0.00%,0.00%,,0.00%,,0.00%,0.00%,0.00%,10,0,0,0,5,0,0,10,0,0,0,5,0,0,0,0,0,0,0,0,0
CLIFTON-FINE CENTRAL SCHOOL DISTRICT,NY,3607710,0.00%,,0.00%,,0.00%,0.00%,0.00%,0.00%,,,,0.00%,,0.00%,0.00%,,,,0.00%,,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLINTON CENTRAL SCHOOL DISTRICT,NY,3607770,0.86%,,0.00%,,0.00%,0.00%,0.00%,1.72%,,0.00%,,0.00%,0.00%,0.00%,0.00%,,0.00%,,0.00%,0.00%,0.00%,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
CLYDE-SAVANNAH CENTRAL SCHOOL DISTRICT,NY,3607860,0.00%,,0.00%,,0.00%,0.00%,0.00%,0.00%,,,,0.00%,0.00%,0.00%,0.00%,,0.00%,,0.00%,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COBLESKILL-RICHMONDVILLE CENTRAL SCHOOL DISTRICT,NY,3600010,0.59%,,,,0.00%,0.00%,0.62%,1.15%,,,,0.00%,0.00%,1.20%,0.00%,,,,0.00%,0.00%,0.00%,5,0,0,0,0,0,5,5,0,0,0,0,0,5,0,0,0,0,0,0,0
COHOES CITY SCHOOL DISTRICT,NY,3607980,1.04%,,0.00%,,8.33%,0.00%,0.63%,1.96%,,0.00%,,16.67%,0.00%,1.18%,0.00%,,0.00%,,0.00%,0.00%,0.00%,10,0,0,0,5,0,5,10,0,0,0,5,0,5,0,0,0,0,0,0,0
COLD SPRING HARBOR CENTRAL SCHOOL DISTRICT,NY,3608010,0.00%,0.00%,0.00%,,0.00%,,0.00%,0.00%,,0.00%,,0.00%,,0.00%,0.00%,,0.00%,,,,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COLTON-PIERREPONT CENTRAL SCHOOL DISTRICT,NY,3608100,0.00%,,,,,,0.00%,0.00%,,,,,,0.00%,0.00%,,,,,,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COMMACK UNION FREE SCHOOL DISTRICT,NY,3608130,0.00%,0.00%,0.00%,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.00%,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COMMUNITY CHARTER SCHOOL,NY,3600064,21.31%,,0.00%,,23.21%,0.00%,,21.88%,,,,23.33%,0.00%,,20.69%,,,,23.08%,0.00%,,65,0,0,0,65,0,0,35,0,0,0,35,0,0,30,0,0,0,30,0,0
COMMUNITY ROOTS CHARTER SCHOOL,NY,3600159,1.67%,,0.00%,,0.00%,0.00%,0.00%,0.00%,,0.00%,,0.00%,0.00%,0.00%,0.00%,,0.00%,,0.00%,0.00%,0.00%,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CONNETQUOT CENTRAL SCHOOL DISTRICT,NY,3608160,0.53%,0.00%,0.00%,0.00%,0.00%,0.00%,0.63%,1.02%,,0.00%,0.00%,0.00%,0.00%,0.80%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,15,0,0,0,0,0,15,15,0,0,0,0,0,10,0,0,0,0,0,0,0
COOPERSTOWN CENTRAL SCHOOL DISTRICT,NY,3608250,0.00%,,0.00%,,0.00%,0.00%,0.00%,0.00%,,0.00%,,0.00%,0.00%,0.00%,0.00%,,0.00%,,0.00%,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COPIAGUE UNION FREE SCHOOL DISTRICT,NY,3608310,2.95%,,0.00%,,7.08%,1.72%,2.35%,5.22%,,0.00%,,12.50%,2.44%,4.44%,0.47%,,0.00%,,1.75%,0.00%,0.00%,65,0,0,0,40,20,10,60,0,0,0,35,15,10,5,0,0,0,5,0,0
CORINTH CENTRAL SCHOOL DISTRICT,NY,3608370,1.35%,,,,0.00%,,1.41%,2.78%,,,,,,2.94%,0.00%,,,,,,0.00%,5,0,0,0,0,0,5,5,0,0,0,0,0,5,0,0,0,0,0,0,0
CORNING CITY SCHOOL DISTRICT,NY,3608400,1.81%,0.00%,0.00%,0.00%,7.69%,0.00%,1.53%,3.10%,0.00%,0.00%,,14.29%,0.00%,3.03%,0.46%,0.00%,0.00%,,20.00%,0.00%,0.52%,40,0,0,0,5,0,30,35,0,0,0,5,0,30,5,0,0,0,5,0,5
