district_name,state,district_id,rate_all,rate_ind,rate_asian,rate_pacis,rate_black,rate_latino,rate_white,m_rate_all,m_rate_ind,m_rate_asian,m_rate_pacis,m_rate_black,m_rate_latino,m_rate_white,f_rate_all,f_rate_ind,f_rate_asian,f_rate_pacis,f_rate_black,f_rate_latino,f_rate_white,cnt_all,cnt_ind,cnt_asian,cnt_pacis,cnt_black,cnt_latino,cnt_white,m_cnt_all,m_cnt_ind,m_cnt_asian,m_cnt_pacis,m_cnt_black,m_cnt_latino,m_cnt_white,f_cnt_all,f_cnt_ind,f_cnt_asian,f_cnt_pacis,f_cnt_black,f_cnt_latino,f_cnt_white
AUBURN UNION ELEMENTARY,CA,0603480,1.08%,0.00%,0.00%,0.00%,0.00%,1.33%,1.12%,2.22%,0.00%,0.00%,0.00%,0.00%,2.86%,2.25%,0.00%,0.00%,0.00%,,0.00%,0.00%,0.00%,15,0,0,0,0,5,10,15,0,0,0,0,5,10,0,0,0,0,0,0,0
AZUSA UNIFIED,CA,0603600,1.38%,0.00%,0.00%,,0.00%,1.37%,2.86%,2.47%,0.00%,0.00%,,0.00%,2.44%,0.00%,0.44%,0.00%,0.00%,,0.00%,0.47%,0.00%,65,0,0,0,0,60,5,60,0,0,0,0,55,0,10,0,0,0,0,10,0
BAKER VALLEY UNIFIED,CA,0603610,0.00%,,,,,0.00%,,0.00%,,,,,0.00%,,0.00%,,,,,0.00%,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAKERSFIELD CITY,CA,0603630,4.05%,11.11%,1.89%,16.67%,11.46%,3.09%,4.77%,6.47%,23.08%,3.57%,33.33%,16.98%,5.04%,7.76%,1.58%,0.00%,0.00%,0.00%,5.81%,1.17%,1.50%,805,15,5,5,180,480,100,650,15,5,5,135,395,85,155,0,0,0,45,90,15
BALDWIN PARK UNIFIED,CA,0603690,1.88%,0.00%,0.00%,,0.00%,2.00%,3.03%,3.00%,0.00%,0.00%,,0.00%,3.16%,5.88%,0.68%,0.00%,0.00%,,0.00%,0.74%,0.00%,145,0,0,0,0,140,5,120,0,0,0,0,115,5,25,0,0,0,0,25,0
BALLARD ELEMENTARY,CA,0603720,0.00%,,,,,0.00%,0.00%,0.00%,,,,,0.00%,0.00%,0.00%,,,,,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BALLICO-CRESSEY ELEMENTARY,CA,0603750,0.00%,,0.00%,,,0.00%,0.00%,0.00%,,,,,0.00%,0.00%,0.00%,,,,,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BANNING UNIFIED,CA,0603840,6.99%,17.65%,4.17%,0.00%,13.95%,5.61%,9.59%,10.89%,22.22%,9.09%,0.00%,19.05%,8.92%,13.51%,3.15%,12.50%,0.00%,0.00%,8.70%,2.44%,2.78%,175,15,5,0,30,90,35,135,10,5,0,20,70,25,40,5,0,0,10,20,5
BARSTOW UNIFIED,CA,0604020,8.25%,9.09%,0.00%,11.11%,20.65%,5.52%,7.55%,11.96%,0.00%,0.00%,20.00%,27.66%,8.28%,11.90%,4.26%,0.00%,0.00%,0.00%,11.11%,3.18%,2.67%,260,5,0,5,95,90,60,195,0,0,5,65,70,50,65,0,0,0,25,25,10
BASS LAKE JOINT UNION ELEMENTARY,CA,0604080,15.94%,50.00%,0.00%,,,12.50%,17.02%,26.47%,100.00%,0.00%,,,25.00%,25.00%,5.88%,0.00%,0.00%,,,0.00%,8.33%,55,5,0,0,0,10,40,45,5,0,0,0,10,30,10,0,0,0,0,0,10
BASSETT UNIFIED,CA,0604110,2.25%,,0.00%,,0.00%,2.34%,0.00%,4.02%,,0.00%,,0.00%,4.19%,0.00%,0.55%,,0.00%,,0.00%,0.57%,0.00%,40,0,0,0,0,40,0,35,0,0,0,0,35,0,5,0,0,0,0,5,0
Bay View Academy,CA,9999075,0.00%,,0.00%,,0.00%,0.00%,0.00%,0.00%,,,,0.00%,0.00%,0.00%,0.00%,,0.00%,,0.00%,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAYSHORE ELEMENTARY,CA,0604200,8.33%,,5.56%,0.00%,0.00%,10.00%,0.00%,12.50%,,11.11%,0.00%,0.00%,11.11%,0.00%,4.17%,,12.50%,0.00%,0.00%,9.09%,,20,0,5,0,0,10,0,15,0,5,0,0,5,0,5,0,5,0,0,5,0
BEAR VALLEY UNIFIED,CA,0604230,2.65%,0.00%,0.00%,0.00%,33.33%,1.28%,2.92%,4.41%,0.00%,0.00%,0.00%,0.00%,2.50%,5.62%,0.78%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,35,0,0,0,5,5,25,30,0,0,0,0,5,25,5,0,0,0,0,0,0
BEARDSLEY ELEMENTARY,CA,0604260,7.35%,0.00%,0.00%,,25.00%,4.49%,8.82%,11.19%,0.00%,0.00%,,50.00%,6.38%,13.48%,3.10%,0.00%,0.00%,,0.00%,2.38%,3.70%,100,0,0,0,5,20,75,80,0,0,0,5,15,60,20,0,0,0,0,5,15
BEAUMONT UNIFIED,CA,0604290,3.08%,0.00%,0.00%,0.00%,6.98%,3.21%,2.97%,4.56%,0.00%,0.00%,0.00%,8.33%,4.37%,4.38%,1.52%,0.00%,0.00%,0.00%,0.00%,2.01%,1.52%,125,0,0,0,15,65,40,95,0,0,0,10,45,30,30,0,0,0,0,20,10
BELLEVUE UNION ELEMENTARY,CA,0604380,3.75%,0.00%,0.00%,0.00%,14.29%,3.16%,10.00%,6.90%,0.00%,0.00%,0.00%,25.00%,5.63%,12.50%,1.16%,0.00%,0.00%,,0.00%,0.69%,0.00%,65,0,0,0,5,45,15,60,0,0,0,5,40,10,10,0,0,0,0,5,0
BELLFLOWER UNIFIED,CA,0604440,2.80%,0.00%,0.97%,6.25%,5.81%,2.54%,2.01%,4.43%,0.00%,1.79%,12.50%,9.89%,4.08%,2.50%,1.05%,0.00%,0.00%,0.00%,2.44%,0.91%,1.45%,195,0,5,5,50,115,15,160,0,5,5,45,95,10,35,0,0,0,10,20,5
BELMONT-REDWOOD SHORES ELEMENTARY,CA,0604530,0.62%,0.00%,0.00%,0.00%,0.00%,1.92%,0.80%,1.23%,0.00%,0.00%,0.00%,0.00%,3.70%,1.56%,0.00%,,0.00%,0.00%,0.00%,0.00%,0.00%,15,0,0,0,0,5,10,15,0,0,0,0,5,10,0,0,0,0,0,0,0
BENICIA UNIFIED,CA,0604620,0.50%,0.00%,0.00%,0.00%,0.00%,0.00%,0.51%,0.95%,0.00%,0.00%,0.00%,0.00%,0.00%,0.96%,0.00%,,0.00%,0.00%,0.00%,0.00%,0.00%,10,0,0,0,0,0,5,10,0,0,0,0,0,5,0,0,0,0,0,0,0
BENNETT VALLEY UNION ELEMENTARY,CA,0604650,1.52%,0.00%,0.00%,0.00%,0.00%,0.00%,1.49%,1.90%,0.00%,0.00%,0.00%,0.00%,0.00%,2.86%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,15,0,0,0,0,0,10,10,0,0,0,0,0,10,0,0,0,0,0,0,0
BERKELEY UNIFIED,CA,0604740,0.99%,0.00%,0.00%,0.00%,2.90%,0.56%,0.35%,1.42%,0.00%,0.00%,0.00%,4.41%,1.04%,0.65%,0.52%,0.00%,0.00%,0.00%,1.43%,0.00%,0.00%,40,0,0,0,20,5,5,30,0,0,0,15,5,5,10,0,0,0,5,0,0
BERRYESSA UNION ELEMENTARY,CA,0604800,1.93%,0.00%,1.11%,11.11%,8.00%,2.87%,3.13%,3.15%,0.00%,1.86%,25.00%,15.38%,5.47%,5.56%,0.60%,0.00%,0.33%,0.00%,0.00%,0.00%,0.00%,100,0,35,5,10,35,10,85,0,30,5,10,35,10,15,0,5,0,0,0,0
BIGGS UNIFIED,CA,0605040,0.00%,,,,,,0.00%,0.00%,,,,,,0.00%,0.00%,,,,,,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BISHOP UNIFIED,CA,0601409,3.77%,10.34%,0.00%,,,1.54%,1.72%,5.95%,20.00%,0.00%,,,2.94%,3.33%,1.33%,0.00%,0.00%,,,0.00%,0.00%,30,15,0,0,0,5,5,25,15,0,0,0,5,5,5,0,0,0,0,0,0
BLACK BUTTE UNION ELEMENTARY,CA,0605220,17.24%,0.00%,,,,0.00%,21.05%,33.33%,0.00%,,,,0.00%,44.44%,0.00%,0.00%,,,,,0.00%,25,0,0,0,0,0,20,25,0,0,0,0,0,20,0,0,0,0,0,0,0
BLACK OAK MINE UNIFIED,CA,0605240,0.00%,,,,,,0.00%,0.00%,,,,,,0.00%,0.00%,,,,,,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOGUS ELEMENTARY,CA,0605490,0.00%,0.00%,,,,,0.00%,0.00%,,,,,,0.00%,0.00%,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BONITA UNIFIED,CA,0605610,2.43%,0.00%,4.00%,0.00%,0.00%,2.30%,3.05%,4.05%,0.00%,3.85%,0.00%,0.00%,4.08%,4.52%,1.00%,0.00%,0.00%,0.00%,0.00%,0.51%,1.43%,100,0,10,0,0,45,45,85,0,5,0,0,40,35,20,0,0,0,0,5,10
BONNY DOON UNION ELEMENTARY,CA,0605640,0.00%,,,,,0.00%,0.00%,0.00%,,,,,,0.00%,0.00%,,,,,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BONSALL UNION ELEMENTARY,CA,0605670,1.32%,0.00%,0.00%,0.00%,0.00%,1.05%,1.32%,2.00%,0.00%,0.00%,0.00%,0.00%,2.22%,2.60%,0.66%,0.00%,0.00%,0.00%,0.00%,2.00%,0.00%,20,0,0,0,0,5,10,15,0,0,0,0,5,10,5,0,0,0,0,5,0
BRAWLEY ELEMENTARY,CA,0605790,1.69%,,0.00%,,0.00%,1.81%,3.23%,2.71%,,0.00%,,0.00%,2.58%,5.88%,0.67%,,0.00%,,0.00%,0.72%,0.00%,50,0,0,0,0,50,5,40,0,0,0,0,35,5,10,0,0,0,0,10,0
BREA OLINDA UNIFIED,CA,0605880,1.53%,0.00%,0.78%,0.00%,10.00%,2.38%,1.35%,2.30%,0.00%,1.49%,0.00%,0.00%,3.81%,2.54%,0.70%,0.00%,0.00%,0.00%,0.00%,0.95%,0.00%,45,0,5,0,5,25,15,35,0,5,0,0,20,15,10,0,0,0,0,5,0
BRENTWOOD UNION ELEMENTARY,CA,0605910,1.96%,0.00%,0.00%,0.00%,7.14%,1.89%,1.73%,3.05%,0.00%,0.00%,0.00%,8.33%,3.09%,2.59%,0.78%,0.00%,0.00%,0.00%,3.03%,0.65%,0.80%,105,0,0,0,25,30,45,85,0,0,0,15,25,35,20,0,0,0,5,5,10
BRIGGS ELEMENTARY SCHOOL DISTRICT,CA,0606030,0.00%,,,,,0.00%,0.00%,0.00%,,,,,0.00%,0.00%,0.00%,,,,,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRISBANE ELEMENTARY,CA,0606060,1.41%,,0.00%,0.00%,0.00%,4.17%,0.00%,2.70%,,0.00%,0.00%,0.00%,7.14%,0.00%,0.00%,,0.00%,,0.00%,0.00%,0.00%,5,0,0,0,0,5,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0
BUCKEYE UNION ELEMENTARY,CA,0606270,1.14%,0.00%,0.00%,0.00%,0.00%,1.19%,1.14%,1.90%,0.00%,0.00%,,0.00%,2.27%,2.22%,0.33%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,35,0,0,0,0,5,25,30,0,0,0,0,5,25,5,0,0,0,0,0,0
BUELLTON UNION SCHOOL DISTRICT,CA,0606330,3.30%,0.00%,0.00%,,,5.26%,2.08%,6.38%,0.00%,0.00%,,,10.53%,4.17%,0.00%,,,,,0.00%,0.00%,15,0,0,0,0,10,5,15,0,0,0,0,10,5,0,0,0,0,0,0,0
BUENA PARK ELEMENTARY,CA,0606360,3.35%,0.00%,1.79%,0.00%,3.03%,3.98%,4.30%,5.06%,0.00%,2.33%,0.00%,3.30%,6.23%,6.12%,1.49%,0.00%,0.00%,0.00%,2.70%,1.57%,2.27%,165,0,15,0,25,105,20,130,0,10,0,15,85,15,35,0,0,0,10,20,5
BURLINGAME ELEMENTARY,CA,0606480,0.51%,0.00%,0.00%,0.00%,0.00%,0.00%,0.48%,1.00%,,0.00%,,0.00%,0.00%,0.93%,0.00%,,0.00%,0.00%,0.00%,0.00%,0.00%,10,0,0,0,0,0,5,10,0,0,0,0,0,5,0,0,0,0,0,0,0
BURTON ELEMENTARY,CA,0606570,3.51%,0.00%,0.00%,,0.00%,3.52%,3.08%,5.58%,0.00%,0.00%,,0.00%,6.29%,5.97%,1.34%,0.00%,0.00%,,0.00%,1.42%,1.59%,80,0,0,0,0,50,20,65,0,0,0,0,45,20,15,0,0,0,0,10,5
BUTTE VALLEY UNIFIED,CA,0606580,2.70%,0.00%,,,,0.00%,0.00%,0.00%,0.00%,,,,0.00%,0.00%,0.00%,0.00%,,,,0.00%,0.00%,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BYRON UNION ELEMENTARY,CA,0606750,3.06%,0.00%,7.69%,0.00%,14.29%,3.13%,2.65%,6.31%,0.00%,14.29%,0.00%,25.00%,6.67%,5.41%,0.85%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,35,0,5,0,5,5,20,35,0,5,0,5,5,20,5,0,0,0,0,0,0
CABRILLO UNIFIED,CA,0606780,1.28%,,0.00%,0.00%,0.00%,1.78%,1.69%,2.55%,,0.00%,,0.00%,2.41%,3.17%,0.65%,,0.00%,,0.00%,0.00%,0.00%,20,0,0,0,0,15,10,20,0,0,0,0,10,10,5,0,0,0,0,0,0
CAJON VALLEY UNION,CA,0606810,2.04%,0.00%,0.00%,2.63%,5.92%,1.83%,1.62%,3.42%,0.00%,0.00%,5.00%,9.88%,3.23%,2.49%,0.51%,0.00%,0.00%,0.00%,1.41%,0.29%,0.64%,210,0,0,5,45,65,80,185,0,0,5,40,60,65,25,0,0,0,5,5,15
CALAVERAS UNIFIED,CA,0606870,4.23%,9.09%,0.00%,0.00%,0.00%,3.92%,4.35%,7.07%,14.29%,0.00%,,0.00%,7.69%,7.80%,1.17%,0.00%,0.00%,0.00%,0.00%,4.00%,0.74%,75,5,0,0,0,10,60,65,5,0,0,0,10,55,10,0,0,0,0,5,5
CALEXICO UNIFIED,CA,0606900,1.53%,,0.00%,,,1.55%,0.00%,2.60%,,0.00%,,,2.42%,0.00%,0.44%,,0.00%,,,0.44%,0.00%,70,0,0,0,0,70,0,60,0,0,0,0,55,0,10,0,0,0,0,10,0
CALIPATRIA UNIFIED,CA,0606990,1.09%,,,,0.00%,1.25%,10.00%,1.92%,,,,,2.17%,16.67%,0.00%,,,,0.00%,0.00%,0.00%,5,0,0,0,0,5,5,5,0,0,0,0,5,5,0,0,0,0,0,0,0
CALISTOGA JOINT UNIFIED,CA,0607020,2.25%,0.00%,0.00%,,,2.74%,0.00%,2.22%,,0.00%,,,2.78%,0.00%,2.27%,,0.00%,,,2.70%,0.00%,10,0,0,0,0,10,0,5,0,0,0,0,5,0,5,0,0,0,0,5,0
CAMBRIAN,CA,0607140,0.66%,0.00%,0.00%,0.00%,5.88%,0.88%,0.92%,1.30%,0.00%,0.00%,0.00%,11.11%,1.75%,0.93%,0.44%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,15,0,0,0,5,5,10,15,0,0,0,5,5,5,5,0,0,0,0,0,0
CAMINO NUEVO ELEMENTARY 3,CA,06CC223,2.52%,,,,0.00%,2.56%,,5.00%,,,,0.00%,5.08%,,0.00%,,,,,0.00%,,15,0,0,0,0,15,0,15,0,0,0,0,15,0,0,0,0,0,0,0,0
CAMPBELL UNION ELEMENTARY SCHOOL DISTRICT,CA,0607200,1.97%,0.00%,0.71%,0.00%,4.55%,2.28%,1.33%,3.21%,0.00%,1.41%,0.00%,9.09%,3.94%,2.50%,0.41%,0.00%,0.00%,0.00%,0.00%,0.44%,0.72%,100,0,5,0,10,55,20,85,0,5,0,10,50,20,10,0,0,0,0,5,5
CAPISTRANO UNIFIED,CA,0607440,0.37%,0.00%,0.00%,0.00%,0.00%,0.69%,0.27%,0.62%,0.00%,0.00%,0.00%,0.00%,0.99%,0.44%,0.09%,0.00%,0.00%,0.00%,0.00%,0.18%,0.08%,80,0,0,0,0,40,35,70,0,0,0,0,30,30,10,0,0,0,0,5,5
CAPITOL COLLEGIATE ACADEMY,CA,06CC253,4.55%,0.00%,0.00%,,10.00%,0.00%,0.00%,10.00%,,,,25.00%,0.00%,,0.00%,,,,0.00%,0.00%,0.00%,5,0,0,0,5,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0
CARDIFF ELEMENTARY,CA,0607470,0.00%,0.00%,0.00%,,0.00%,0.00%,0.00%,0.00%,,0.00%,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CARLSBAD UNIFIED,CA,0607500,1.15%,0.00%,0.00%,0.00%,5.56%,1.43%,1.00%,1.83%,0.00%,0.00%,0.00%,10.00%,2.10%,1.90%,0.40%,0.00%,0.00%,0.00%,0.00%,0.73%,0.00%,60,0,0,0,5,20,30,50,0,0,0,5,15,30,10,0,0,0,0,5,0
CARMEL UNIFIED,CA,0607530,1.56%,,0.00%,,0.00%,2.86%,0.78%,3.03%,,0.00%,,0.00%,5.88%,1.49%,0.00%,,0.00%,,,0.00%,0.00%,15,0,0,0,0,5,5,15,0,0,0,0,5,5,0,0,0,0,0,0,0
CARPINTERIA UNIFIED,CA,0607560,3.20%,0.00%,0.00%,,0.00%,2.55%,3.85%,6.03%,0.00%,0.00%,,0.00%,4.82%,7.41%,0.97%,0.00%,0.00%,,0.00%,0.00%,4.00%,35,0,0,0,0,20,10,35,0,0,0,0,20,10,5,0,0,0,0,0,5
CASCADE UNION ELEMENTARY,CA,0607680,10.67%,10.00%,0.00%,0.00%,20.00%,6.67%,12.50%,16.22%,22.22%,0.00%,,50.00%,8.33%,18.31%,5.26%,9.09%,0.00%,,0.00%,4.76%,5.48%,120,10,0,0,5,15,90,90,10,0,0,5,10,65,30,5,0,0,0,5,20
CASTAIC UNION ELEMENTARY,CA,0607740,2.86%,,0.00%,,0.00%,3.37%,2.56%,4.76%,,0.00%,,0.00%,4.35%,4.92%,1.68%,,0.00%,,0.00%,2.33%,0.00%,35,0,0,0,0,15,15,30,0,0,0,0,10,15,10,0,0,0,0,5,0
CASTRO VALLEY UNIFIED,CA,0607800,0.93%,0.00%,0.00%,0.00%,0.00%,1.18%,1.56%,1.58%,0.00%,0.00%,0.00%,0.00%,2.44%,2.29%,0.27%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,35,0,0,0,0,10,20,30,0,0,0,0,10,15,5,0,0,0,0,0,0
CELERITY CARDINAL CHARTER,CA,06CC235,0.00%,,,,,0.00%,,0.00%,,,,,0.00%,,0.00%,,,,,0.00%,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CELERITY OCTAVIA CHARTER,CA,06CC221,1.56%,,0.00%,,0.00%,1.75%,0.00%,3.33%,,0.00%,,,3.70%,0.00%,0.00%,,0.00%,,0.00%,0.00%,,5,0,0,0,0,5,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0
CELERITY PALMATI CHARTER,CA,06CC203,0.00%,,0.00%,,0.00%,0.00%,0.00%,0.00%,,,,0.00%,0.00%,0.00%,0.00%,,0.00%,,0.00%,0.00%,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Celerity Sirius Charter School,CA,9999022,2.33%,,,,2.94%,0.00%,,4.44%,,,,2.86%,0.00%,,0.00%,,,,0.00%,0.00%,,10,0,0,0,10,0,0,10,0,0,0,5,0,0,0,0,0,0,0,0,0
CENTER FOR ADVANCED LRN,CA,06CC162,0.00%,,,,0.00%,0.00%,,0.00%,,,,0.00%,0.00%,,0.00%,,,,0.00%,0.00%,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CENTER JOINT UNIFIED,CA,0607900,4.84%,0.00%,2.44%,0.00%,11.48%,4.49%,4.02%,7.72%,0.00%,5.56%,0.00%,20.69%,4.55%,6.98%,2.00%,0.00%,4.35%,0.00%,3.03%,4.44%,0.83%,120,0,5,0,35,20,50,95,0,5,0,30,10,45,25,0,5,0,5,10,5
CENTRAL ELEMENTARY,CA,0607950,1.23%,0.00%,0.00%,0.00%,3.45%,0.00%,2.84%,2.14%,0.00%,0.00%,0.00%,3.23%,0.00%,5.68%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,35,0,0,0,10,0,25,30,0,0,0,5,0,25,0,0,0,0,0,0,0
CENTRAL UNIFIED,CA,0607970,4.04%,7.69%,1.35%,0.00%,9.80%,3.56%,4.26%,6.42%,14.29%,1.63%,0.00%,14.81%,5.61%,6.71%,1.45%,0.00%,1.01%,0.00%,2.78%,1.42%,0.75%,320,5,15,0,75,155,60,265,5,10,0,60,125,50,55,0,5,0,10,30,5
CENTRAL UNION ELEMENTARY,CA,0607980,0.95%,0.00%,0.00%,0.00%,0.00%,4.76%,0.00%,1.92%,,0.00%,0.00%,0.00%,10.00%,0.00%,0.00%,0.00%,0.00%,,0.00%,0.00%,0.00%,5,0,0,0,0,5,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0
CENTRALIA ELEMENTARY,CA,0608070,0.89%,0.00%,0.00%,0.00%,3.70%,1.23%,0.73%,1.48%,0.00%,0.00%,0.00%,6.67%,1.99%,1.37%,0.24%,0.00%,0.00%,0.00%,0.00%,0.42%,0.00%,40,0,0,0,5,30,5,35,0,0,0,5,25,5,5,0,0,0,0,5,0
CERES UNIFIED,CA,0608130,5.03%,8.33%,2.38%,5.77%,7.50%,4.84%,5.26%,7.89%,14.29%,5.00%,10.00%,10.00%,7.80%,8.40%,1.97%,0.00%,0.00%,0.00%,10.00%,1.72%,1.72%,370,5,5,15,15,260,65,300,5,5,15,10,215,55,70,0,0,0,10,45,10
CHARTER OAK UNIFIED,CA,0608190,1.97%,0.00%,0.00%,0.00%,5.56%,2.45%,1.37%,3.04%,0.00%,0.00%,0.00%,0.00%,4.02%,2.63%,0.76%,0.00%,0.00%,0.00%,0.00%,1.30%,0.00%,55,0,0,0,5,40,10,45,0,0,0,0,35,10,10,0,0,0,0,10,0
CHATOM UNION,CA,0608250,6.98%,,,,,3.64%,12.90%,10.53%,,,,,4.00%,23.08%,4.17%,,,,,3.33%,5.56%,30,0,0,0,0,10,20,20,0,0,0,0,5,15,10,0,0,0,0,5,5
CHAWANAKEE UNIFIED,CA,0600116,6.56%,14.29%,,,,20.00%,4.88%,9.38%,33.33%,,,,33.33%,4.55%,3.45%,20.00%,,,,0.00%,0.00%,20,5,0,0,0,5,10,15,5,0,0,0,5,5,5,5,0,0,0,0,0
CHICO UNIFIED,CA,0608370,2.32%,3.70%,1.18%,0.00%,8.33%,2.32%,2.03%,3.58%,7.14%,2.44%,0.00%,13.04%,3.77%,3.15%,0.99%,0.00%,0.00%,0.00%,4.00%,0.70%,0.84%,145,5,5,0,20,35,75,115,5,5,0,15,30,60,30,0,0,0,5,5,15
CHILDREN OF PROMISE PREPARATORY ACADEMY,CA,06CC051,0.00%,,,,0.00%,0.00%,,0.00%,,,,0.00%,0.00%,,0.00%,,,,0.00%,0.00%,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHINO VALLEY UNIFIED,CA,0608460,2.00%,0.00%,0.73%,0.00%,3.57%,2.28%,2.02%,3.30%,0.00%,0.94%,0.00%,6.98%,3.84%,3.11%,0.62%,0.00%,0.00%,0.00%,0.00%,0.65%,0.84%,265,0,15,0,15,180,50,225,0,10,0,15,155,40,40,0,0,0,0,25,10
CHOWCHILLA ELEMENTARY,CA,0608520,8.78%,0.00%,0.00%,,16.67%,7.22%,11.82%,13.58%,0.00%,0.00%,,0.00%,11.70%,17.24%,3.80%,0.00%,0.00%,,0.00%,3.00%,3.85%,140,0,0,0,5,70,65,110,0,0,0,0,55,50,30,0,0,0,0,15,10
CHULA VISTA ELEMENTARY,CA,0608610,0.57%,8.33%,0.16%,0.00%,1.54%,0.54%,0.48%,0.96%,16.67%,0.31%,0.00%,3.06%,0.96%,0.62%,0.16%,0.00%,0.00%,0.00%,1.03%,0.12%,0.33%,145,5,5,0,15,95,15,125,5,5,0,15,85,10,20,0,0,0,5,10,5
CINNABAR ELEMENTARY,CA,0608700,0.00%,,0.00%,,0.00%,0.00%,0.00%,0.00%,,,,,0.00%,0.00%,0.00%,,,,,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CITIZENS OF THE WORLD CHARTER,CA,06CC215,0.00%,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.00%,,0.00%,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CITRUS SOUTH TULE ELEMENTARY,CA,0608730,0.00%,0.00%,,,,0.00%,0.00%,0.00%,0.00%,,,,0.00%,0.00%,0.00%,0.00%,,,,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLAREMONT UNIFIED,CA,0608760,2.27%,0.00%,1.61%,0.00%,10.26%,1.63%,1.63%,3.82%,0.00%,3.13%,0.00%,15.00%,3.28%,3.08%,0.62%,,0.00%,,5.26%,0.00%,0.00%,75,0,5,0,20,20,20,65,0,5,0,15,20,20,10,0,0,0,5,0,0
CLOVERDALE UNIFIED,CA,0608970,0.00%,0.00%,0.00%,,0.00%,0.00%,0.00%,0.00%,0.00%,,,,0.00%,0.00%,0.00%,0.00%,,,,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLOVIS UNIFIED,CA,0609030,7.83%,3.73%,3.28%,,16.46%,10.27%,6.68%,12.42%,5.97%,5.69%,,20.93%,16.35%,10.91%,2.94%,1.49%,0.75%,,9.72%,3.83%,2.27%,"1,615",25,90,5,130,690,635,"1,315",20,80,5,90,565,530,295,5,10,0,35,125,105
COACHELLA VALLEY UNIFIED,CA,0609070,2.25%,0.00%,0.00%,,25.00%,2.17%,3.45%,3.35%,0.00%,0.00%,,0.00%,3.26%,6.67%,1.07%,0.00%,0.00%,,0.00%,1.00%,0.00%,240,0,0,0,5,225,5,185,0,0,0,0,175,5,55,0,0,0,0,50,0
COALINGA-HURON JOINT UNIFIED,CA,0609120,6.54%,0.00%,9.09%,,25.00%,7.02%,2.04%,10.80%,0.00%,25.00%,,50.00%,11.56%,3.57%,2.00%,0.00%,0.00%,,0.00%,2.38%,0.00%,135,0,5,0,5,120,5,115,0,5,0,5,100,5,20,0,0,0,0,20,0
COAST UNIFIED,CA,0600049,1.52%,,0.00%,,,0.00%,0.00%,0.00%,,,,,0.00%,0.00%,0.00%,,,,,0.00%,0.00%,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COLD SPRING ELEMENTARY,CA,0609270,0.00%,,0.00%,,,0.00%,0.00%,0.00%,,0.00%,,,,0.00%,0.00%,,0.00%,,,,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
